ID's,Predictions
15795.0,0.0
860.0,4.0
5390.0,5.0
11964.0,5.0
11284.0,8.0
6265.0,1.0
16850.0,1.0
4426.0,4.0
14423.0,1.0
11363.0,3.0
16023.0,6.0
8322.0,1.0
1685.0,1.0
769.0,4.0
2433.0,5.0
5311.0,9.0
5051.0,4.0
6420.0,2.0
17568.0,3.0
19769.0,1.0
6396.0,4.0
8666.0,7.0
18942.0,2.0
18431.0,9.0
2747.0,5.0
189.0,4.0
19118.0,2.0
3005.0,7.0
1899.0,3.0
1267.0,8.0
17912.0,3.0
11394.0,6.0
3556.0,9.0
3890.0,6.0
8838.0,6.0
14502.0,7.0
10627.0,1.0
8792.0,7.0
10555.0,1.0
10253.0,2.0
8433.0,5.0
10233.0,9.0
11016.0,2.0
2612.0,2.0
15787.0,0.0
17159.0,3.0
12206.0,2.0
8226.0,0.0
14541.0,7.0
3152.0,0.0
1585.0,9.0
3943.0,0.0
19457.0,7.0
1021.0,1.0
11653.0,1.0
10805.0,0.0
13417.0,2.0
7989.0,1.0
9692.0,1.0
12990.0,3.0
6873.0,5.0
5675.0,4.0
161.0,7.0
4297.0,6.0
995.0,9.0
11534.0,4.0
7629.0,8.0
1016.0,8.0
8529.0,3.0
17262.0,8.0
9268.0,7.0
12185.0,1.0
6331.0,3.0
8571.0,2.0
7208.0,2.0
5276.0,3.0
18446.0,1.0
16448.0,1.0
16216.0,7.0
8006.0,2.0
2568.0,3.0
2027.0,4.0
2695.0,5.0
15422.0,3.0
5258.0,3.0
6736.0,3.0
391.0,3.0
13986.0,0.0
12666.0,3.0
5892.0,5.0
3561.0,2.0
6184.0,3.0
19483.0,4.0
8392.0,0.0
13067.0,3.0
15265.0,3.0
19488.0,9.0
2454.0,5.0
11837.0,1.0
14039.0,8.0
19115.0,5.0
10965.0,4.0
9762.0,8.0
5056.0,5.0
14948.0,8.0
8110.0,8.0
13773.0,9.0
17412.0,5.0
502.0,8.0
6910.0,2.0
12685.0,1.0
206.0,0.0
17868.0,6.0
15934.0,3.0
17247.0,7.0
19174.0,8.0
8755.0,3.0
12383.0,6.0
18141.0,7.0
14820.0,6.0
7574.0,2.0
6374.0,6.0
1678.0,0.0
19626.0,3.0
1059.0,5.0
16198.0,5.0
9914.0,3.0
19541.0,0.0
10817.0,2.0
10921.0,5.0
9789.0,8.0
16312.0,1.0
11252.0,0.0
2693.0,8.0
